Order Date,Ship Date,Ship Mode,Customer ID,Segment,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Sales,Quantity,Discount,class
303,218,2,143,0,194,15,42420,2,12,0,4,261.96,2,0,0
303,218,2,143,0,194,15,42420,2,55,0,5,731.94,3,0,0
834,905,2,237,1,266,3,90036,3,945,1,10,14.62,2,0,0
92,127,3,705,0,153,8,33311,2,319,0,16,957.5775,5,0.45,1
92,127,3,705,0,153,8,33311,2,1315,1,14,22.368,2,0.2,0
920,895,3,88,0,266,3,90032,3,185,0,9,48.86,7,0,0
920,895,3,88,0,266,3,90032,3,562,1,2,7.28,4,0,0
920,895,3,88,0,266,3,90032,3,1759,2,13,907.152,6,0.2,0
920,895,3,88,0,266,3,90032,3,794,1,3,18.504,3,0.2,0
920,895,3,88,0,266,3,90032,3,437,1,1,114.9,5,0,0
920,895,3,88,0,266,3,90032,3,328,0,16,1706.184,9,0.2,0
920,895,3,88,0,266,3,90032,3,1748,2,13,911.424,4,0.2,0
633,692,3,2,0,96,31,28027,2,1166,1,12,15.552,3,0.2,0
407,333,3,338,0,452,45,98103,3,781,1,3,407.976,3,0.2,0
247,280,3,330,2,154,41,76106,0,421,1,1,68.81,5,0.8,1
247,280,3,330,2,154,41,76106,0,663,1,3,2.544,3,0.8,1
201,243,3,597,0,272,47,53711,0,1406,1,14,665.88,6,0,0
727,780,2,18,0,513,42,84084,3,1293,1,14,55.5,2,0,0
1087,1216,2,792,0,438,3,94109,3,567,1,2,8.56,2,0,0
1087,1216,2,792,0,438,3,94109,3,1747,2,13,213.48,3,0.2,0
1087,1216,2,792,0,438,3,94109,3,730,1,3,22.72,4,0.2,0
422,345,3,417,1,158,25,68025,0,477,1,2,19.46,7,0,0
422,345,3,417,1,158,25,68025,0,408,1,1,60.34,7,0,0
949,1024,2,684,0,374,36,19140,1,95,0,5,71.372,2,0.3,1
1192,1308,3,249,0,351,42,84057,3,319,0,16,1044.63,3,0,0
18,37,2,258,0,266,3,90049,3,702,1,3,11.648,2,0.2,0
